Fecha,Volumen_L,Volumen_m3,Total_muestras,Muestras_activas,Eficiencia_operativa_%,Horas_activas,m3_por_hora_activa
2024-05-12,189523.127076,189.523127076,144,81,56.25,13.5,14.038750153777778
2024-05-13,247942.502352,247.94250235200002,144,93,64.58333333333334,15.5,15.996290474322581
2024-05-14,214936.875036,214.936875036,144,93,64.58333333333334,15.5,13.866895163612904
2024-05-15,199083.75096,199.08375096,144,55,38.19444444444444,9.166666666666666,21.718227377454546
2024-05-16,286996.8816,286.9968816,88,63,71.5909090909091,10.5,27.33303634285714
