Fecha,Volumen_L,Volumen_m3,Total_muestras,Muestras_activas,Eficiencia_operativa_%,Horas_activas,m3_por_hora_activa
2024-05-12,306696.56298,306.69656298,144,127,88.19444444444444,21.166666666666664,14.489601400629923
2024-05-13,279369.3725388,279.3693725388,144,136,94.44444444444444,22.666666666666664,12.325119376711767
2024-05-14,276813.75012,276.81375012,144,140,97.22222222222221,23.333333333333332,11.863446433714287
2024-05-15,99229.68864,99.22968863999999,144,117,81.25,19.5,5.0887019815384615
2024-05-16,50439.37488,50.43937488,88,81,92.04545454545455,13.5,3.7362499911111113
